Brachytheciaceae|アオギヌゴケ科|ツヤヒツジゴケ|Brachythecium pulchellum|Brachythecium pulchellum Broth. et Paris|0|0||
Brachytheciaceae|アオギヌゴケ科|アラエノヒツジゴケ|Brachythecium reflexum|Brachythecium reflexum (Starke) Schimp.|0|0||
Brachytheciaceae|アオギヌゴケ科|エゾナガスジヒツジゴケ|Brachythecium reflexum var. filirameum|Brachythecium reflexum (Starke) Schimp.  var. filirameum Cardot|0|0||
Brachytheciaceae|アオギヌゴケ科||Brachythecium rishiriense|Brachythecium rishiriense Takaki et Z.Iwats.|0|0||
Brachytheciaceae|アオギヌゴケ科|タニゴケ|Brachythecium rivulare|Brachythecium rivulare Schimp.|0|0||
Brachytheciaceae|アオギヌゴケ科|タニゴケ|Brachythecium rivulare var. cataractarum|Brachythecium rivulare Schimp.  var. cataractarum Saut.|0|0||
Brachytheciaceae|アオギヌゴケ科|ヒロハノフサゴケ|Brachythecium rutabulum|Brachythecium rutabulum (Hedw.) Schimp.|0|0||
Brachytheciaceae|アオギヌゴケ科|ハタオリヒツジゴケ|Brachythecium sakuraii|Brachythecium sakuraii Broth.|0|0||
Brachytheciaceae|アオギヌゴケ科|ヒロハフサゴケ|Brachythecium salebrosum|Brachythecium salebrosum (Hoffm. ex F.Weber et D.Mohr) Schimp.|0|0||
Brachytheciaceae|アオギヌゴケ科|オカヒツジゴケ|Brachythecium sapporense|Brachythecium sapporense (Besch.) Takaki|0|0||
Brachytheciaceae|アオギヌゴケ科|デワノヒツジゴケ|Brachythecium starkei|Brachythecium starkei (Brid.) Schimp.|0|0||
Brachytheciaceae|アオギヌゴケ科|ササバゴケモドキ|Brachythecium takakii|Brachythecium takakii H.Rob.|0|0||
Brachytheciaceae|アオギヌゴケ科|カギヤノネゴケ|Brachythecium uncinifolium|Brachythecium uncinifolium Broth. et Paris|0|0||
