7512|Polypodiaceae|水龍骨科|玉山石韋|Pyrrosia transmorrisonensis|Pyrrosia transmorrisonensis (Hayata) Ching|2|1|DD|原生
7463|Pteridaceae|鳳尾蕨科|亨氏擬旱蕨|Mildella henryi|Mildella henryi (Christ) C.C.Hall & Lellinger|2|0|LC|原生
7471|Pteridaceae|鳳尾蕨科|二形鳳尾蕨|Pteris dimorpha var. dimorpha|Pteris dimorpha Copel. var. dimorpha|2|0|LC|原生
7482|Pteridaceae|鳳尾蕨科|擬翅柄鳳尾蕨|Pteris dimorpha var. metagrevilleana|Pteris dimorpha Copel. var. metagrevilleana Y.S.Chao, H.Y.Liu & W.L.Chiou|2|0|CR|原生
7432|Pteridaceae|鳳尾蕨科|尾葉鳳尾蕨|Pteris dimorpha var. prolongata|Pteris dimorpha Copel. var. prolongata Y.S.Chao, H.Y.Liu & W.L.Chiou|2|0|LC|原生
7469|Pteridaceae|鳳尾蕨科|白斑翅柄鳳尾蕨|Pteris grevilleana var. ornata|Pteris grevilleana Wall. ex J.Agardh var. ornata Alderw.|2|0|VU|原生
7493|Pteridaceae|鳳尾蕨科|彎羽鳳尾蕨|Pteris incurvata|Pteris incurvata Y.S.Chao, H.Y.Liu & W.L.Chiou|2|0|LC|原生
7466|Pteridaceae|鳳尾蕨科|寬羽鳳尾蕨|Pteris latipinna|Pteris latipinna Y.S.Chao & W.L.Chiou|2|0|VU|原生
7464|Pteridaceae|鳳尾蕨科|變葉鳳尾蕨|Pteris perplexa|Pteris perplexa Y.S.Chao, H.Y.Liu & W.L.Chiou|2|0|LC|原生
7505|Thelypteridaceae|金星蕨科|密腺小毛蕨|Cyclosorus aridus|Cyclosorus aridus (D.Don) Tagawa|2|0|LC|原生
7454|Thelypteridaceae|金星蕨科|野小毛蕨|Cyclosorus dentatus|Cyclosorus dentatus (Forssk.) Ching|2|0|LC|原生
7487|Thelypteridaceae|金星蕨科|突尖小毛蕨|Cyclosorus ensifer|Cyclosorus ensifer (Tagawa) W.C.Shieh|2|1|DD|原生
7517|Thelypteridaceae|金星蕨科|秦氏蕨|Cyclosorus ferox|Cyclosorus ferox (Blume) Ching|2|0|NA|原生
7504|Thelypteridaceae|金星蕨科|蘭嶼圓腺蕨|Cyclosorus kotoensis|Cyclosorus kotoensis (Hayata) W.C.Shieh|2|1|LC|原生
7437|Thelypteridaceae|金星蕨科|縮羽小毛蕨|Cyclosorus papilio|Cyclosorus papilio (C.Hope) Ching|2|0|NT|原生
7480|Thelypteridaceae|金星蕨科|密毛小毛蕨|Cyclosorus parasiticus|Cyclosorus parasiticus (L.) Farw.|2|0|LC|原生
7433|Thelypteridaceae|金星蕨科|小密腺小毛蕨|Cyclosorus subpubescens|Cyclosorus subpubescens (Blume) Ching|2|0|LC|原生
7515|Thelypteridaceae|金星蕨科|臺灣圓腺蕨|Cyclosorus taiwanensis|Cyclosorus taiwanensis (C.Chr.) H.Ito|2|0|LC|原生
7507|Thelypteridaceae|金星蕨科|擬密毛毛蕨|Cyclosorus ×intermedius|Cyclosorus ×intermedius W. C. Shieh & J. L. Tsai|2|1|NA|原生
7514|Thelypteridaceae|金星蕨科|薄葉凸軸蕨|Metathelypteris flaccida|Metathelypteris flaccida (Blume) Ching|2|0|CR|原生
7434|Thelypteridaceae|金星蕨科|大羽葉新月蕨|Pronephrium asperum|Pronephrium asperum (C.Presl) Holttum|2|0|LC|原生
7500|Thelypteridaceae|金星蕨科|大斜金星蕨|Thelypteris ×erubesquirolica|Thelypteris ×erubesquirolica W.C.Shieh & J.L.Tsai|2|1|NA|原生
6926||膜蕨科|窗格長片蕨|Abrodictyum clathratum|Abrodictyum clathratum (Tagawa) Ebihara & K. Iwats.|2|0|NT|原生
6927||膜蕨科|長片蕨|Abrodictyum cumingii|Abrodictyum cumingii C. Presl|2|0|NT|原生
