128|Cyatheaceae|桫欏科|蘭嶼筆筒樹|Cyathea fenicis|Cyathea fenicis Copel.|1|0|VU|原生
129|Cyatheaceae|桫欏科|韓氏桫欏|Cyathea hancockii|Cyathea hancockii Copel.|1|0|NT|原生
130|Cyatheaceae|桫欏科|筆筒樹|Cyathea lepifera|Cyathea lepifera (J. Sm. ex Hook.) Copel.|1|0||原生
131|Cyatheaceae|桫欏科|南洋桫欏|Cyathea loheri|Cyathea loheri Christ|1|0|NT|原生
132|Cyatheaceae|桫欏科|臺灣樹蕨|Cyathea metteniana|Cyathea metteniana (Hance) C. Chr. & Tardieu|1|0||原生
133|Cyatheaceae|桫欏科|鬼桫欏|Cyathea podophylla|Cyathea podophylla (Hook.) Copel.|1|0||原生
134|Cyatheaceae|桫欏科|臺灣桫欏|Cyathea spinulosa|Cyathea spinulosa Wall. ex Hook.|1|0||原生
523|Cystopteridaceae|冷蕨科|冷蕨|Cystopteris fragilis|Cystopteris fragilis (L.) Bernh.|1|0||原生
524|Cystopteridaceae|冷蕨科|毛冷蕨|Cystopteris japonica|Cystopteris japonica Luerss.|1|0||原生
525|Cystopteridaceae|冷蕨科|寬葉冷蕨|Cystopteris moupinensis|Cystopteris moupinensis Franch.|1|0||原生
526|Cystopteridaceae|冷蕨科|粗柄毛冷蕨|Cystopteris tenuisecta|Cystopteris tenuisecta (Blume) Mett.|1|0||原生
558|Cystopteridaceae|冷蕨科|羽節蕨|Gymnocarpium oyamense|Gymnocarpium oyamense (Baker) Ching|1|0|CR|原生
559|Cystopteridaceae|冷蕨科|細裂羽節蕨|Gymnocarpium remotepinnatum|Gymnocarpium remotepinnatum (Hayata) Ching|1|0||未知
185|Davalliaceae|骨碎補科|臺灣小膜蓋蕨|Araiostegia parvipinnula|Araiostegia parvipinnula (Hayata) Copel.|1|0||原生
186|Davalliaceae|骨碎補科|大葉骨碎補|Davallia formosana|Davallia formosana Hayata|1|0||原生
187|Davalliaceae|骨碎補科|海州骨碎補|Davallia mariesii|Davallia mariesii T. Moore ex Baker|1|0||原生
188|Davalliaceae|骨碎補科|闊葉骨碎補|Davallia solida|Davallia solida (G. Forst.) Sw.|1|0||原生
189|Davalliaceae|骨碎補科|圓蓋陰石蕨|Davallia tyermannii|Davallia tyermannii (T. Moore) Baker|1|0||未知
190|Davalliaceae|骨碎補科|阿里山陰石蕨|Humata chrysanthemifolia|Humata chrysanthemifolia (Hayata) C. Chr.|1|0|NT|原生
191|Davalliaceae|骨碎補科|杯狀蓋陰石蕨|Humata griffithiana|Humata griffithiana (Hook.) C. Chr.|1|0||原生
192|Davalliaceae|骨碎補科|馬來陰石蕨|Humata pectinata|Humata pectinata (Sm.) Desv.|1|0|EN|原生
193|Davalliaceae|骨碎補科|陰石蕨|Humata repens|Humata repens (L. f.) Small ex Diels|1|0|NT|原生
194|Davalliaceae|骨碎補科|鱗葉陰石蕨|Humata trifoliata|Humata trifoliata Cav.|1|0||原生
195|Davalliaceae|骨碎補科|熱帶陰石蕨|Humata vestita|Humata vestita (Blume) T. Moore|1|0|DD|原生
198|Davalliaceae|骨碎補科|腎蕨|Nephrolepis auriculata|Nephrolepis auriculata (L.) Trimen|1|0||原生
199|Davalliaceae|骨碎補科|長葉腎蕨|Nephrolepis biserrata|Nephrolepis biserrata (Sw.) Schott|1|0||原生
200|Davalliaceae|骨碎補科|毛葉腎蕨|Nephrolepis multiflora|Nephrolepis multiflora (Roxb.) F.M. Jarrett ex C.V. Morton|1|0||原生
135|Dennstaedtiaceae|碗蕨科|細毛碗蕨|Dennstaedtia hirsuta|Dennstaedtia hirsuta (Sw.) Mett. ex Miq.|1|0||原生
136|Dennstaedtiaceae|碗蕨科|碗蕨|Dennstaedtia scabra|Dennstaedtia scabra (Wall. ex Hook.) T. Moore|1|0||原生
137|Dennstaedtiaceae|碗蕨科|刺柄碗蕨|Dennstaedtia scandens|Dennstaedtia scandens (Blume) T. Moore|1|0||原生
138|Dennstaedtiaceae|碗蕨科|司氏碗蕨|Dennstaedtia smithii|Dennstaedtia smithii (Hook.) T. Moore|1|0||原生
139|Dennstaedtiaceae|碗蕨科|栗蕨|Histiopteris incisa|Histiopteris incisa (Thunb.) J. Sm.|1|0||原生
140|Dennstaedtiaceae|碗蕨科|姬蕨|Hypolepis punctata|Hypolepis punctata (Thunb.) Mett. ex Kuhn|1|0||原生
141|Dennstaedtiaceae|碗蕨科|細葉姬蕨|Hypolepis tenuifolia|Hypolepis tenuifolia (G. Forst.) Bernh.|1|0||原生
142|Dennstaedtiaceae|碗蕨科|光葉鱗蓋蕨|Microlepia calvescens|Microlepia calvescens (Wall. ex Hook.) C. Presl|1|0||原生
143|Dennstaedtiaceae|碗蕨科|羽葉鱗蓋蕨|Microlepia calvescens var. intramarginalis|Microlepia calvescens var. intramarginalis (Tagawa) W.C. Shieh|1|0||原生
